"","V1","V2","blastp"
"10646","Aech_RNA21178_R0","gene_4455","PREDICTED: uncharacterized protein LOC105153643 [Acromyrmex echinatior]"
"10647","Sinv_RNA-XM_011163132.2_R0","gene_4456","hypothetical protein ALC57_08992, partial [Trachymyrmex cornetzi]"
"10650","Aech_RNA21180_R0","gene_4457","PREDICTED: uncharacterized protein LOC105153613 [Acromyrmex echinatior]"
"10653","Sinv_RNA-XM_026130754.1_R0","gene_4285","PREDICTED: LOW QUALITY PROTEIN: CAD protein [Acromyrmex echinatior]"
"10655","Sinv_RNA-XM_026130756.1_R0","gene_4458","PREDICTED: uncharacterized protein LOC108751031 [Trachymyrmex septentrionalis]"
"10657","Sinv_RNA-XM_011163135.2_R0","gene_4286","PREDICTED: pyridoxine-5'-phosphate oxidase isoform X1 [Acromyrmex echinatior]"
"10659","Aech_RNA21182_R0","gene_4286","PREDICTED: pyridoxine-5'-phosphate oxidase isoform X1 [Acromyrmex echinatior]"
"10660","Aech_RNA21183_R0","gene_4286","PREDICTED: pyridoxine-5'-phosphate oxidase isoform X1 [Acromyrmex echinatior]"
"10661","Aech_RNA21184_R0","gene_4287","PREDICTED: atrial natriuretic peptide-converting enzyme [Acromyrmex echinatior]"
"10664","Aech_RNA21191_R0","gene_4459","PREDICTED: uncharacterized protein LOC105153616 isoform X1 [Acromyrmex echinatior]"
"10665","Aech_RNA21187_R0","gene_4459","PREDICTED: uncharacterized protein LOC105153616 isoform X1 [Acromyrmex echinatior]"
"10666","Aech_RNA21194_R0","gene_4288","PREDICTED: armadillo segment polarity protein isoform X1 [Acromyrmex echinatior]"
"10669","Aech_RNA21193_R0","gene_4288","PREDICTED: armadillo segment polarity protein isoform X2 [Acromyrmex echinatior]"
"10672","Mpha_ver3_rna-XM_012678786.3_R0","gene_4288","PREDICTED: armadillo segment polarity protein isoform X1 [Acromyrmex echinatior]"
"10673","Mpha_ver3_rna-XM_036286820.1_R3","gene_4460","Leucine-rich repeat-containing protein 7 [Trachymyrmex zeteki]"
"10674","Mpha_ver3_rna-XM_028192644.2_R3","gene_4460","Leucine-rich repeat-containing protein 7 [Trachymyrmex zeteki]"
"10675","Aech_RNA21197_R0","gene_4289","PREDICTED: zinc finger protein 624 [Acromyrmex echinatior]"
"10678","Aech_RNA21200_R0","gene_4461","PREDICTED: protein tiptop isoform X1 [Acromyrmex echinatior]"
"10681","Sinv_RNA-XM_026130770.1_R0","gene_4290","uncharacterized protein LOC113003037 [Solenopsis invicta]"
"10682","Sinv_RNA-XM_026136108.1_R0","gene_4462",NA
"10683","Sinv_RNA-XM_011163153.2_R0","gene_4463","PREDICTED: U11/U12 small nuclear ribonucleoprotein 48 kDa protein-like [Acromyrmex echinatior]"
"10685","Aech_RNA21201_R0","gene_4463","PREDICTED: U11/U12 small nuclear ribonucleoprotein 48 kDa protein-like [Acromyrmex echinatior]"
"10686","Sinv_RNA-XM_011163152.2_R0","gene_4463","PREDICTED: U11/U12 small nuclear ribonucleoprotein 48 kDa protein-like [Acromyrmex echinatior]"
"10687","Mpha_ver3_rna-XM_028189716.2_R0","gene_4463","PREDICTED: U11/U12 small nuclear ribonucleoprotein 48 kDa protein-like [Acromyrmex echinatior]"
"10688","Mpha_ver3_rna-XM_028189715.2_R1","gene_4291","Zinc metalloproteinase nas-15, partial [Trachymyrmex septentrionalis]"
"10689","Aech_RNA21202_R0","gene_4464","PREDICTED: serine/threonine-protein kinase fused isoform X1 [Acromyrmex echinatior]"
"10691","Mpha_ver3_rna-XM_012666046.3_R0","gene_4464","PREDICTED: serine/threonine-protein kinase fused isoform X1 [Acromyrmex echinatior]"
"10692","Aech_RNA21203_R0","gene_4464","PREDICTED: serine/threonine-protein kinase fused isoform X1 [Acromyrmex echinatior]"
"10693","Aech_RNA21204_R0","gene_4292","PREDICTED: zinc metalloproteinase nas-15 [Acromyrmex echinatior]"
"10695","Sinv_RNA-XM_011165932.2_R1","gene_4292","Zinc metalloproteinase nas-15, partial [Acromyrmex echinatior]"
"10699","Sinv_RNA-XM_026133110.1_R1","gene_4292","Zinc metalloproteinase nas-15, partial [Acromyrmex echinatior]"
"10700","Aech_RNA21205_R0","gene_4465","PREDICTED: cytochrome P450 306a1 [Acromyrmex echinatior]"
"10703","Aech_RNA21206_R0","gene_4293","PREDICTED: cytochrome P450 18a1 [Acromyrmex echinatior]"
"10706","Mpha_ver3_rna-XM_028189049.2_R0","gene_4466","uncharacterized protein LOC114253723 isoform X2 [Monomorium pharaonis]"
"10707","Aech_RNA4418_R7","gene_4294","PREDICTED: uncharacterized protein LOC105152148 [Acromyrmex echinatior]"
"10708","Aech_RNA21207_R0","gene_4295","PREDICTED: uncharacterized protein LOC105153647 [Acromyrmex echinatior]"
"10709","Aech_RNA21208_R0","gene_4467","Putative zinc metalloproteinase YIL108W [Acromyrmex echinatior]"
"10712","Aech_RNA21210_R0","gene_4468","PREDICTED: glycolipid transfer protein isoform X1 [Acromyrmex echinatior]"
"10715","Aech_RNA21209_R0","gene_4468","PREDICTED: pleckstrin homology domain-containing family A member 8 isoform X2 [Acromyrmex echinatior]"
"10716","Aech_RNA21213_R0","gene_4296","PREDICTED: transmembrane protein 17B-like isoform X1 [Acromyrmex echinatior]"
"10719","Aech_RNA21212_R0","gene_4296","PREDICTED: transmembrane protein 17B-like isoform X1 [Acromyrmex echinatior]"
"10720","Aech_RNA21214_R0","gene_4297","Coiled-coil domain-containing protein 72, partial [Cyphomyrmex costatus]"
"10723","Aech_RNA21219_R0","gene_4469","PREDICTED: dihydrofolate reductase isoform X1 [Acromyrmex echinatior]"
"10726","Aech_RNA21220_R0","gene_4469","PREDICTED: dihydrofolate reductase isoform X1 [Acromyrmex echinatior]"
"10729","Sinv_RNA-XM_011163165.2_R0","gene_4469","PREDICTED: dihydrofolate reductase isoform X1 [Acromyrmex echinatior]"
"10730","Aech_RNA21221_R0","gene_4298","PREDICTED: histidine triad nucleotide-binding protein 1 [Acromyrmex echinatior]"
"10733","Aech_RNA21222_R0","gene_4299","PREDICTED: cyclin-dependent kinase 4-like [Acromyrmex echinatior]"
"10736","Aech_RNA21227_R0","gene_4470","PREDICTED: uncharacterized protein LOC105153648 [Acromyrmex echinatior]"
"10737","Mpha_ver3_rna-XM_028193650.2_R1","gene_6918","AAEL015589-PA [Aedes aegypti]"
"10738","Mpha_ver3_rna-XM_012674942.3_R1","gene_6919","hypothetical protein B566_EDAN011690 [Ephemera danica]"
"10740","Sinv_RNA-XM_026139838.1_R9","gene_6926","PREDICTED: uncharacterized protein LOC105147755 [Acromyrmex echinatior]"
"10742","Sinv_RNA-XM_011173227.1_R7","gene_6927","uncharacterized protein LOC105195390 [Solenopsis invicta]"
"10743","Aech_RNA3261_R4","gene_6928","PREDICTED: uncharacterized protein LOC105154803 [Acromyrmex echinatior]"
"10744","Aech_RNA14534_R0","gene_6929","PREDICTED: GATA zinc finger domain-containing protein 16-like [Acromyrmex echinatior]"
"10745","Mpha_ver3_rna-XM_036290685.1_R6","gene_6930","hypothetical protein ALC57_18709 [Trachymyrmex cornetzi]"
"10746","Mpha_ver3_rna-XM_036286221.1_R4","gene_8819","retrovirus-related gag-pol polyprotein [Lasius niger]"
"10747","Sinv_RNA-XM_026141541.1_R9","gene_8820","Retrovirus-related Pol polyprotein from transposon TNT 1-94, partial [Acromyrmex echinatior]"
"10748","Mpha_ver3_rna-XM_036290125.1_R8","gene_8821","PREDICTED: trichohyalin-like [Trachymyrmex septentrionalis]"
"10749","Sinv_RNA-XM_011176201.2_R0","gene_8499","protein GVQW3-like [Solenopsis invicta]"
"10750","Sinv_RNA-XM_026141042.1_R8","gene_8822","PREDICTED: histone-lysine N-methyltransferase SETMAR-like, partial [Acromyrmex echinatior]"
"10751","Mpha_ver3_rna-XM_036292484.1_R5","gene_8824","PREDICTED: uncharacterized protein LOC105152587 [Acromyrmex echinatior]"
"10753","Sinv_RNA-XM_026139658.1_R0","gene_8823","PREDICTED: uncharacterized protein LOC105567860 [Vollenhovia emeryi]"
"10757","Sinv_RNA-XM_026141948.1_R5","gene_8825","PREDICTED: putative uncharacterized protein FLJ37770 [Trachymyrmex zeteki]"
"10758","Aech_RNA3261_R3","gene_8500","PREDICTED: uncharacterized protein LOC105154803 [Acromyrmex echinatior]"
"10759","Sinv_RNA-XM_011168190.1_R9","gene_8501","histone-lysine N-methyltransferase SETMAR-like [Solenopsis invicta]"
"10760","Mpha_ver3_rna-XM_036285386.1_R0","gene_8826","uncharacterized protein LOC112454612 [Temnothorax curvispinosus]"
"10761","Mpha_ver3_rna-XM_028192462.2_R2","gene_8502","Mariner Mos1 transposase [Acromyrmex echinatior]"
"10762","Mpha_ver3_rna-XM_036283247.1_R0","gene_8504","uncharacterized protein LOC112589848 [Harpegnathos saltator]"
"10763","Sinv_RNA-XM_011172805.1_R8","gene_8505","PREDICTED: uncharacterized protein LOC105149721, partial [Acromyrmex echinatior]"
"10764","Aech_RNA18923_R0","gene_8503","PREDICTED: uncharacterized protein LOC105152159 [Acromyrmex echinatior]"
"10767","Aech_RNA7193_R7","gene_8827","PREDICTED: cold shock domain-containing protein 3-like [Acromyrmex echinatior]"
"10768","Aech_RNA2986_R1","gene_8828","Histone-lysine N-methyltransferase SETMAR [Acromyrmex echinatior]"
"10769","Aech_RNA3347_R0","gene_8506","PREDICTED: transcription factor MafG isoform X1 [Acromyrmex echinatior]"
"10772","Aech_RNA3349_R0","gene_8829","PREDICTED: tRNA (cytosine(38)-C(5))-methyltransferase [Acromyrmex echinatior]"
"10775","Aech_RNA3350_R0","gene_8507","PREDICTED: protein CLEC16A isoform X1 [Acromyrmex echinatior]"
"10778","Sinv_RNA-XM_026135587.1_R0","gene_8507","PREDICTED: protein CLEC16A isoform X1 [Acromyrmex echinatior]"
"10780","Aech_RNA3351_R0","gene_8507","PREDICTED: protein CLEC16A isoform X2 [Acromyrmex echinatior]"
"10781","Mpha_ver3_rna-XM_012682021.3_R0","gene_8830","PREDICTED: hepatocyte growth factor-regulated tyrosine kinase substrate [Atta cephalotes]"
"10783","Aech_RNA3352_R0","gene_8830","PREDICTED: hepatocyte growth factor-regulated tyrosine kinase substrate [Acromyrmex echinatior]"
"10784","Sinv_RNA-XM_011160220.2_R0","gene_8830","PREDICTED: hepatocyte growth factor-regulated tyrosine kinase substrate [Atta cephalotes]"
"10785","Aech_RNA3588_R3","gene_8508","PREDICTED: uncharacterized protein LOC105155026 [Acromyrmex echinatior]"
"10786","Aech_RNA3257_R7","gene_8831","PREDICTED: cytochrome P450 4C1-like [Acromyrmex echinatior]"
"10787","Sinv_RNA-XM_011159055.1_R9","gene_8510","pol polyprotein [Lasius niger]"
"10788","Aech_RNA5094_R4","gene_8509","PREDICTED: uncharacterized protein LOC105143680 [Acromyrmex echinatior]"
"10796","Aech_RNA6296_R7","gene_8511","hypothetical protein G5I_09380 [Acromyrmex echinatior]"
"10797","Mpha_ver3_rna-XM_012679582.3_R0","gene_8832","PREDICTED: LOW QUALITY PROTEIN: kalirin-like [Acromyrmex echinatior]"
"10798","Mpha_ver3_rna-XM_036291718.1_R0","gene_8832","PREDICTED: LOW QUALITY PROTEIN: kalirin-like [Acromyrmex echinatior]"
"10799","Aech_RNA3356_R0","gene_8512","PREDICTED: tyrosine-protein phosphatase corkscrew isoform X1 [Acromyrmex echinatior]"
"10800","Aech_RNA3357_R0","gene_8512","PREDICTED: tyrosine-protein phosphatase corkscrew isoform X2 [Acromyrmex echinatior]"
"10801","Aech_RNA3355_R0","gene_8512","PREDICTED: tyrosine-protein phosphatase non-receptor type 11-like [Acromyrmex echinatior]"
"10802","Mpha_ver3_rna-XM_036283011.1_R9","gene_8833","uncharacterized protein LOC105248410 [Camponotus floridanus]"
"10805","Aech_RNA3358_R0","gene_8834","PREDICTED: uncharacterized protein LOC105154856 [Acromyrmex echinatior]"
"10806","Aech_RNA7739_R0","gene_8835","PREDICTED: uncharacterized protein LOC105145296 [Acromyrmex echinatior]"
"10807","Aech_RNA7738_R0","gene_8513","PREDICTED: uncharacterized protein LOC105145295 [Acromyrmex echinatior]"
"10808","Mpha_ver3_rna-XM_036293045.1_R1","gene_8836","hypothetical protein ALC57_01896 [Trachymyrmex cornetzi]"
"10809","Mpha_ver3_rna-XM_036283048.1_R5","gene_8837","uncharacterized protein LOC116853116 [Odontomachus brunneus]"
"10810","Aech_RNA3049_R2","gene_8514","PREDICTED: uncharacterized protein LOC105154645 isoform X3 [Acromyrmex echinatior]"
"10811","Aech_RNA19862_R0","gene_8515","PREDICTED: protein abnormal spindle [Acromyrmex echinatior]"
"10814","Aech_RNA19866_R0","gene_8838","PREDICTED: protein Mo25 isoform X1 [Acromyrmex echinatior]"
"10817","Aech_RNA19869_R0","gene_8838","PREDICTED: protein Mo25 isoform X2 [Acromyrmex echinatior]"
"10820","Aech_RNA12808_R0","gene_8839","PREDICTED: uncharacterized protein LOC105148332 [Acromyrmex echinatior]"
"10821","Aech_RNA11647_R0","gene_8516","PREDICTED: uncharacterized protein LOC105147650 [Acromyrmex echinatior]"
"10822","Aech_RNA11646_R0","gene_8840","PREDICTED: zinc finger protein 287-like [Acromyrmex echinatior]"
"10823","Sinv_RNA-XM_026140219.1_R9","gene_8517","uncharacterized protein LOC112639318 [Camponotus floridanus]"
"10824","Aech_RNA9052_R7","gene_8518","PREDICTED: uncharacterized protein LOC105146095 [Acromyrmex echinatior]"
"10825","Aech_RNA11645_R0","gene_8841","PREDICTED: THAP domain-containing protein 5-like isoform X1 [Acromyrmex echinatior]"
"10826","Aech_RNA11644_R0","gene_8841","PREDICTED: THAP domain-containing protein 4-like isoform X2 [Acromyrmex echinatior]"
"10827","Sinv_RNA-XM_011164087.2_R2","gene_8842","Transposable element P transposase, partial [Temnothorax longispinosus]"
"10828","Aech_RNA11643_R0","gene_8843","PREDICTED: uncharacterized protein LOC105147648 [Acromyrmex echinatior]"
"10829","Sinv_RNA-XM_026139663.1_R4","gene_8519","PREDICTED: putative nuclease HARBI1, partial [Trachymyrmex cornetzi]"
"10833","Aech_RNA11642_R0","gene_8520","PREDICTED: uncharacterized protein LOC105147647 [Acromyrmex echinatior]"
"10834","Mpha_ver3_rna-XM_028193522.2_R0","gene_8844","PREDICTED: uncharacterized protein LOC108693048 isoform X1 [Atta colombica]"
"10835","Aech_RNA13180_R0","gene_8844","PREDICTED: uncharacterized protein LOC105148577 [Acromyrmex echinatior]"
"10836","Aech_RNA6202_R0","gene_8521","PREDICTED: uncharacterized protein LOC105144373 [Acromyrmex echinatior]"
"10837","Aech_RNA4439_R6","gene_8845","PREDICTED: uncharacterized protein LOC105143270 [Acromyrmex echinatior]"
"10838","Aech_RNA6203_R0","gene_8522","PREDICTED: DTW domain-containing protein 2 isoform X1 [Acromyrmex echinatior]"
"10841","Aech_RNA6205_R0","gene_8522","PREDICTED: DTW domain-containing protein 2 isoform X2 [Acromyrmex echinatior]"
"10842","Aech_RNA6206_R0","gene_8522","PREDICTED: DTW domain-containing protein 2 isoform X3 [Acromyrmex echinatior]"
"10843","Sinv_RNA-XM_011177325.2_R0","gene_8522","PREDICTED: DTW domain-containing protein 2 isoform X1 [Acromyrmex echinatior]"
"10844","Sinv_RNA-XM_011177323.2_R0","gene_8846","PREDICTED: protein arginine N-methyltransferase 7 [Acromyrmex echinatior]"
"10846","Aech_RNA6207_R0","gene_8846","PREDICTED: protein arginine N-methyltransferase 7 [Acromyrmex echinatior]"
"10847","Mpha_ver3_rna-XM_028191249.1_R0","gene_8846","PREDICTED: protein arginine N-methyltransferase 7 [Acromyrmex echinatior]"
"10848","Aech_RNA7592_R6","gene_8523","PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Atta cephalotes]"
"10850","Mpha_ver3_rna-XM_036287487.1_R6","gene_8847","hypothetical protein ALC57_09636, partial [Trachymyrmex cornetzi]"
"10852","Sinv_RNA-XM_026140219.1_R4","gene_8848","uncharacterized protein LOC113005713 [Solenopsis invicta]"
"10853","Sinv_RNA-XM_026141646.1_R8","gene_8850","uncharacterized protein LOC105284005 [Ooceraea biroi]"
"10854","Aech_RNA6209_R0","gene_8849","PREDICTED: uncharacterized protein LOC105144367 isoform X1 [Acromyrmex echinatior]"
"10855","Mpha_ver3_rna-XM_036286197.1_R4","gene_8524","hypothetical protein RF55_15257 [Lasius niger]"
"10858","Mpha_ver3_rna-XM_036292487.1_R5","gene_8525","uncharacterized protein LOC112638359 [Camponotus floridanus]"
"10859","Aech_RNA5094_R8","gene_8526","pol polyprotein [Lasius niger]"
"10863","Sinv_RNA-XM_011176138.1_R6","gene_8851","PREDICTED: uncharacterized protein LOC108769183 [Trachymyrmex cornetzi]"
"10864","Aech_RNA6214_R0","gene_8527","PREDICTED: myb-like protein X isoform X2 [Acromyrmex echinatior]"
"10867","Aech_RNA6220_R0","gene_8527","PREDICTED: myb-like protein X isoform X1 [Acromyrmex echinatior]"
"10868","Aech_RNA6221_R0","gene_8527","PREDICTED: myb-like protein X isoform X2 [Acromyrmex echinatior]"
"10869","Sinv_RNA-XM_026134068.1_R0","gene_8527","PREDICTED: myb-like protein X isoform X2 [Acromyrmex echinatior]"
"10870","Aech_RNA4242_R6","gene_8852","PREDICTED: uncharacterized protein LOC105143178 [Acromyrmex echinatior]"
"10871","Aech_RNA3261_R1","gene_8853","PREDICTED: uncharacterized protein LOC105154803 [Acromyrmex echinatior]"
"10872","Aech_RNA3050_R6","gene_8528","PREDICTED: uncharacterized protein LOC105154645 isoform X2 [Acromyrmex echinatior]"
"10873","Sinv_RNA-XM_026130188.1_R1","gene_8854","hypothetical protein G5I_04136 [Acromyrmex echinatior]"
"10874","Aech_RNA6224_R0","gene_8855","Vesicular inhibitory amino acid transporter, partial [Trachymyrmex zeteki]"
"10875","Aech_RNA6225_R0","gene_8856","PREDICTED: uncharacterized protein LOC105144372 [Acromyrmex echinatior]"
"10876","Mpha_ver3_rna-XM_012685422.3_R0","gene_8529","PREDICTED: uncharacterized protein LOC108782495 [Cyphomyrmex costatus]"
"10902","Sinv_RNA-XM_026141067.1_R6","gene_8857","PREDICTED: uncharacterized protein LOC108766985 [Trachymyrmex cornetzi]"
"10903","Aech_RNA6227_R0","gene_8858","PREDICTED: uncharacterized protein LOC105144375 [Acromyrmex echinatior]"
"10904","Sinv_RNA-XM_026139483.1_R5","gene_8530","PREDICTED: uncharacterized protein LOC108779793 [Cyphomyrmex costatus]"
"10905","Mpha_ver3_rna-XM_036290142.1_R1","gene_8859","PREDICTED: uncharacterized protein LOC105145178 [Acromyrmex echinatior]"
"10912","Aech_RNA4734_R9","gene_8531","PREDICTED: uncharacterized protein LOC105147883 [Acromyrmex echinatior]"
"10913","Aech_RNA2357_R7","gene_8860","PREDICTED: uncharacterized protein LOC108750260 [Trachymyrmex septentrionalis]"
"10914","Aech_RNA7561_R0","gene_8861","PREDICTED: ubiquitin carboxyl-terminal hydrolase 20 [Acromyrmex echinatior]"
"10917","Sinv_RNA-XM_011177336.2_R0","gene_8862","PREDICTED: eukaryotic translation initiation factor 2 subunit 1 [Atta cephalotes]"
"10919","Sinv_RNA-XM_026134049.1_R0","gene_8532","Glutathione synthetase, partial [Acromyrmex echinatior]"
"10924","Aech_RNA7563_R0","gene_8532","PREDICTED: glutathione synthetase-like [Acromyrmex echinatior]"
"10925","Aech_RNA7564_R0","gene_8533","PREDICTED: uncharacterized protein LOC105145174 isoform X3 [Acromyrmex echinatior]"
"10926","Aech_RNA3032_R5","gene_8534","PREDICTED: uncharacterized protein LOC105154634 [Acromyrmex echinatior]"
"10927","Aech_RNA4439_R4","gene_8535","PREDICTED: uncharacterized protein LOC105143270 [Acromyrmex echinatior]"
"10928","Aech_RNA7566_R0","gene_8536","PREDICTED: uncharacterized protein LOC105145174 isoform X1 [Acromyrmex echinatior]"
"10929","Aech_RNA7565_R0","gene_8536","PREDICTED: uncharacterized protein LOC105145174 isoform X1 [Acromyrmex echinatior]"
"10930","Aech_RNA7568_R0","gene_8863","PREDICTED: serine--tRNA ligase, mitochondrial [Acromyrmex echinatior]"
"10933","Aech_RNA7569_R0","gene_8864","PREDICTED: zinc finger protein 593 homolog [Acromyrmex echinatior]"
"10936","Sinv_RNA-XM_011177337.2_R0","gene_8865","40S ribosomal protein S20, partial [Cyphomyrmex costatus]"
"10937","Sinv_RNA-XM_026141146.1_R1","gene_8866","hypothetical protein ALC57_08351, partial [Trachymyrmex cornetzi]"
"10938","Aech_RNA7248_R0","gene_8537","PREDICTED: AT-rich interactive domain-containing protein 2 isoform X1 [Acromyrmex echinatior]"
"10939","Aech_RNA7247_R0","gene_8537","PREDICTED: AT-rich interactive domain-containing protein 2 isoform X2 [Acromyrmex echinatior]"
"10940","Aech_RNA7246_R0","gene_8537","PREDICTED: AT-rich interactive domain-containing protein 2 isoform X3 [Acromyrmex echinatior]"
"10941","Aech_RNA7245_R0","gene_8537","PREDICTED: AT-rich interactive domain-containing protein 2 isoform X4 [Acromyrmex echinatior]"
"10942","Aech_RNA7244_R0","gene_8537","PREDICTED: AT-rich interactive domain-containing protein 2 isoform X5 [Acromyrmex echinatior]"
"10943","Aech_RNA7243_R0","gene_8537","PREDICTED: AT-rich interactive domain-containing protein 2 isoform X6 [Acromyrmex echinatior]"
"10944","Mpha_ver3_rna-XM_036294125.1_R0","gene_8537","PREDICTED: AT-rich interactive domain-containing protein 2 isoform X1 [Acromyrmex echinatior]"
